Exch,Exchange Segment,Symbol,Token,Instrument Type,Option Type,Strike Price,Instrument Name,Formatted Ins Name,Trading Symbol,Expiry Date,Lot Size,Tick Size
NFO,nse_fo,MIDCPNIFTY,35381,OPTIDX,PE,9300,MIDCPNIFTY,MIDCPNIFTY 29th APR 9300 PE,MIDCPNIFTY29APR24P9300,2024-04-29,75,0.05
NFO,nse_fo,MIDCPNIFTY,35384,OPTIDX,CE,8600,MIDCPNIFTY,MIDCPNIFTY 15th APR 8600 CE,MIDCPNIFTY15APR24C8600,2024-04-15,75,0.05
NFO,nse_fo,MIDCPNIFTY,35386,OPTIDX,PE,8600,MIDCPNIFTY,MIDCPNIFTY 15th APR 8600 PE,MIDCPNIFTY15APR24P8600,2024-04-15,75,0.05
NFO,nse_fo,MIDCPNIFTY,35393,OPTIDX,CE,8700,MIDCPNIFTY,MIDCPNIFTY 15th APR 8700 CE,MIDCPNIFTY15APR24C8700,2024-04-15,75,0.05
NFO,nse_fo,MIDCPNIFTY,35394,OPTIDX,PE,8700,MIDCPNIFTY,MIDCPNIFTY 15th APR 8700 PE,MIDCPNIFTY15APR24P8700,2024-04-15,75,0.05
NFO,nse_fo,MIDCPNIFTY,35396,OPTIDX,CE,9400,MIDCPNIFTY,MIDCPNIFTY 29th APR 9400 CE,MIDCPNIFTY29APR24C9400,2024-04-29,75,0.05
NFO,nse_fo,MIDCPNIFTY,35397,OPTIDX,PE,9400,MIDCPNIFTY,MIDCPNIFTY 29th APR 9400 PE,MIDCPNIFTY29APR24P9400,2024-04-29,75,0.05
NFO,nse_fo,BANKNIFTY,35398,OPTIDX,CE,41000,BANKNIFTY,BANKNIFTY 26th JUN 41000 CE,BANKNIFTY26JUN24C41000,2024-06-26,15,0.05
NFO,nse_fo,MIDCPNIFTY,35404,OPTIDX,CE,9425,MIDCPNIFTY,MIDCPNIFTY 29th APR 9425 CE,MIDCPNIFTY29APR24C9425,2024-04-29,75,0.05
NFO,nse_fo,MIDCPNIFTY,35405,OPTIDX,PE,9425,MIDCPNIFTY,MIDCPNIFTY 29th APR 9425 PE,MIDCPNIFTY29APR24P9425,2024-04-29,75,0.05
NFO,nse_fo,MIDCPNIFTY,35406,OPTIDX,CE,9450,MIDCPNIFTY,MIDCPNIFTY 29th APR 9450 CE,MIDCPNIFTY29APR24C9450,2024-04-29,75,0.05
NFO,nse_fo,MIDCPNIFTY,35407,OPTIDX,PE,9450,MIDCPNIFTY,MIDCPNIFTY 29th APR 9450 PE,MIDCPNIFTY29APR24P9450,2024-04-29,75,0.05
NFO,nse_fo,MIDCPNIFTY,35408,OPTIDX,CE,9475,MIDCPNIFTY,MIDCPNIFTY 29th APR 9475 CE,MIDCPNIFTY29APR24C9475,2024-04-29,75,0.05
NFO,nse_fo,MIDCPNIFTY,35409,OPTIDX,PE,9475,MIDCPNIFTY,MIDCPNIFTY 29th APR 9475 PE,MIDCPNIFTY29APR24P9475,2024-04-29,75,0.05
NFO,nse_fo,MIDCPNIFTY,35412,OPTIDX,CE,9500,MIDCPNIFTY,MIDCPNIFTY 29th APR 9500 CE,MIDCPNIFTY29APR24C9500,2024-04-29,75,0.05
NFO,nse_fo,MIDCPNIFTY,35413,OPTIDX,PE,9500,MIDCPNIFTY,MIDCPNIFTY 29th APR 9500 PE,MIDCPNIFTY29APR24P9500,2024-04-29,75,0.05
NFO,nse_fo,MIDCPNIFTY,35416,OPTIDX,CE,9525,MIDCPNIFTY,MIDCPNIFTY 29th APR 9525 CE,MIDCPNIFTY29APR24C9525,2024-04-29,75,0.05
NFO,nse_fo,MIDCPNIFTY,35417,OPTIDX,PE,9525,MIDCPNIFTY,MIDCPNIFTY 29th APR 9525 PE,MIDCPNIFTY29APR24P9525,2024-04-29,75,0.05
NFO,nse_fo,MIDCPNIFTY,35418,OPTIDX,CE,9550,MIDCPNIFTY,MIDCPNIFTY 29th APR 9550 CE,MIDCPNIFTY29APR24C9550,2024-04-29,75,0.05
NFO,nse_fo,MIDCPNIFTY,35419,OPTIDX,PE,9550,MIDCPNIFTY,MIDCPNIFTY 29th APR 9550 PE,MIDCPNIFTY29APR24P9550,2024-04-29,75,0.05
NFO,nse_fo,MIDCPNIFTY,35420,OPTIDX,CE,9575,MIDCPNIFTY,MIDCPNIFTY 29th APR 9575 CE,MIDCPNIFTY29APR24C9575,2024-04-29,75,0.05
NFO,nse_fo,MIDCPNIFTY,35421,OPTIDX,PE,9575,MIDCPNIFTY,MIDCPNIFTY 29th APR 9575 PE,MIDCPNIFTY29APR24P9575,2024-04-29,75,0.05
