Exch,Exchange Segment,Symbol,Token,Instrument Type,Option Type,Strike Price,Instrument Name,Formatted Ins Name,Trading Symbol,Expiry Date,Lot Size,Tick Size
NFO,nse_fo,MIDCPNIFTY,35567,OPTIDX,CE,10050,MIDCPNIFTY,MIDCPNIFTY 29th APR 10050 CE,MIDCPNIFTY29APR24C10050,2024-04-29,75,0.05
NFO,nse_fo,MIDCPNIFTY,35582,OPTIDX,PE,10050,MIDCPNIFTY,MIDCPNIFTY 29th APR 10050 PE,MIDCPNIFTY29APR24P10050,2024-04-29,75,0.05
NFO,nse_fo,MIDCPNIFTY,35583,OPTIDX,CE,10075,MIDCPNIFTY,MIDCPNIFTY 29th APR 10075 CE,MIDCPNIFTY29APR24C10075,2024-04-29,75,0.05
NFO,nse_fo,MIDCPNIFTY,35584,OPTIDX,PE,10075,MIDCPNIFTY,MIDCPNIFTY 29th APR 10075 PE,MIDCPNIFTY29APR24P10075,2024-04-29,75,0.05
NFO,nse_fo,MIDCPNIFTY,35587,OPTIDX,CE,10100,MIDCPNIFTY,MIDCPNIFTY 29th APR 10100 CE,MIDCPNIFTY29APR24C10100,2024-04-29,75,0.05
NFO,nse_fo,MIDCPNIFTY,35590,OPTIDX,PE,10100,MIDCPNIFTY,MIDCPNIFTY 29th APR 10100 PE,MIDCPNIFTY29APR24P10100,2024-04-29,75,0.05
NFO,nse_fo,MIDCPNIFTY,35591,OPTIDX,CE,10125,MIDCPNIFTY,MIDCPNIFTY 29th APR 10125 CE,MIDCPNIFTY29APR24C10125,2024-04-29,75,0.05
NFO,nse_fo,MIDCPNIFTY,35620,OPTIDX,PE,10125,MIDCPNIFTY,MIDCPNIFTY 29th APR 10125 PE,MIDCPNIFTY29APR24P10125,2024-04-29,75,0.05
NFO,nse_fo,ABBOTINDIA,35621,OPTSTK,CE,32000,ABBOTT INDIA LIMITED,ABBOTINDIA MAR 32000 CE,ABBOTINDIA28MAR24C32000,2024-03-28,40,0.05
NFO,nse_fo,ABBOTINDIA,35622,OPTSTK,PE,32000,ABBOTT INDIA LIMITED,ABBOTINDIA MAR 32000 PE,ABBOTINDIA28MAR24P32000,2024-03-28,40,0.05
NFO,nse_fo,MIDCPNIFTY,35625,OPTIDX,CE,10150,MIDCPNIFTY,MIDCPNIFTY 29th APR 10150 CE,MIDCPNIFTY29APR24C10150,2024-04-29,75,0.05
NFO,nse_fo,MIDCPNIFTY,35630,OPTIDX,PE,10150,MIDCPNIFTY,MIDCPNIFTY 29th APR 10150 PE,MIDCPNIFTY29APR24P10150,2024-04-29,75,0.05
NFO,nse_fo,MIDCPNIFTY,35631,OPTIDX,CE,10175,MIDCPNIFTY,MIDCPNIFTY 29th APR 10175 CE,MIDCPNIFTY29APR24C10175,2024-04-29,75,0.05
NFO,nse_fo,MIDCPNIFTY,35632,OPTIDX,PE,10175,MIDCPNIFTY,MIDCPNIFTY 29th APR 10175 PE,MIDCPNIFTY29APR24P10175,2024-04-29,75,0.05
NFO,nse_fo,MIDCPNIFTY,35633,OPTIDX,CE,10200,MIDCPNIFTY,MIDCPNIFTY 29th APR 10200 CE,MIDCPNIFTY29APR24C10200,2024-04-29,75,0.05
NFO,nse_fo,MIDCPNIFTY,35634,OPTIDX,PE,10200,MIDCPNIFTY,MIDCPNIFTY 29th APR 10200 PE,MIDCPNIFTY29APR24P10200,2024-04-29,75,0.05
NFO,nse_fo,MIDCPNIFTY,35635,OPTIDX,CE,10225,MIDCPNIFTY,MIDCPNIFTY 29th APR 10225 CE,MIDCPNIFTY29APR24C10225,2024-04-29,75,0.05
NFO,nse_fo,INDUSTOWER,35653,OPTSTK,CE,295,INDUS TOWERS LIMITED,INDUSTOWER APR 295 CE,INDUSTOWER25APR24C295,2024-04-25,3400,0.05
NFO,nse_fo,INDUSTOWER,35654,OPTSTK,PE,295,INDUS TOWERS LIMITED,INDUSTOWER APR 295 PE,INDUSTOWER25APR24P295,2024-04-25,3400,0.05
NFO,nse_fo,MIDCPNIFTY,35658,OPTIDX,PE,10225,MIDCPNIFTY,MIDCPNIFTY 29th APR 10225 PE,MIDCPNIFTY29APR24P10225,2024-04-29,75,0.05
NFO,nse_fo,MIDCPNIFTY,35659,OPTIDX,CE,10250,MIDCPNIFTY,MIDCPNIFTY 29th APR 10250 CE,MIDCPNIFTY29APR24C10250,2024-04-29,75,0.05
NFO,nse_fo,MIDCPNIFTY,35662,OPTIDX,PE,10250,MIDCPNIFTY,MIDCPNIFTY 29th APR 10250 PE,MIDCPNIFTY29APR24P10250,2024-04-29,75,0.05
NFO,nse_fo,MIDCPNIFTY,35663,OPTIDX,CE,10275,MIDCPNIFTY,MIDCPNIFTY 29th APR 10275 CE,MIDCPNIFTY29APR24C10275,2024-04-29,75,0.05
NFO,nse_fo,MIDCPNIFTY,35666,OPTIDX,PE,10275,MIDCPNIFTY,MIDCPNIFTY 29th APR 10275 PE,MIDCPNIFTY29APR24P10275,2024-04-29,75,0.05
NFO,nse_fo,MIDCPNIFTY,35667,OPTIDX,CE,10300,MIDCPNIFTY,MIDCPNIFTY 29th APR 10300 CE,MIDCPNIFTY29APR24C10300,2024-04-29,75,0.05
NFO,nse_fo,MIDCPNIFTY,35668,OPTIDX,PE,10300,MIDCPNIFTY,MIDCPNIFTY 29th APR 10300 PE,MIDCPNIFTY29APR24P10300,2024-04-29,75,0.05
NFO,nse_fo,MIDCPNIFTY,35669,OPTIDX,CE,10325,MIDCPNIFTY,MIDCPNIFTY 29th APR 10325 CE,MIDCPNIFTY29APR24C10325,2024-04-29,75,0.05
NFO,nse_fo,MIDCPNIFTY,35670,OPTIDX,PE,10325,MIDCPNIFTY,MIDCPNIFTY 29th APR 10325 PE,MIDCPNIFTY29APR24P10325,2024-04-29,75,0.05
NFO,nse_fo,MIDCPNIFTY,35671,OPTIDX,CE,10350,MIDCPNIFTY,MIDCPNIFTY 29th APR 10350 CE,MIDCPNIFTY29APR24C10350,2024-04-29,75,0.05
NFO,nse_fo,MIDCPNIFTY,35672,OPTIDX,PE,10350,MIDCPNIFTY,MIDCPNIFTY 29th APR 10350 PE,MIDCPNIFTY29APR24P10350,2024-04-29,75,0.05
