Exch,Exchange Segment,Symbol,Token,Instrument Type,Option Type,Strike Price,Instrument Name,Trading Symbol,Formatted Ins Name,Expiry Date,Lot Size,Tick Size
CDS,cde_fo,JPYINR,11447,OPTCUR,PE,54,JPYINR,JPYINR27DEC24P54,JPYINR 27th DEC 54 PE,2024-12-27,1,0.0025
CDS,cde_fo,JPYINR,11450,OPTCUR,CE,54.25,JPYINR,JPYINR27DEC24C54.25,JPYINR 27th DEC 54.25 CE,2024-12-27,1,0.0025
CDS,cde_fo,JPYINR,11451,OPTCUR,PE,54.25,JPYINR,JPYINR27DEC24P54.25,JPYINR 27th DEC 54.25 PE,2024-12-27,1,0.0025
CDS,cde_fo,GBPINR,11452,OPTCUR,CE,102.5,GBPINR,GBPINR26APR24C102.5,GBPINR 26th APR 102.5 CE,2024-04-26,1,0.0025
CDS,cde_fo,GBPINR,11453,OPTCUR,CE,104,GBPINR,GBPINR10MAY24C104,GBPINR 10th MAY 104 CE,2024-05-10,1,0.0025
CDS,cde_fo,GBPINR,11454,OPTCUR,PE,104,GBPINR,GBPINR10MAY24P104,GBPINR 10th MAY 104 PE,2024-05-10,1,0.0025
CDS,cde_fo,GBPINR,11455,OPTCUR,CE,104.25,GBPINR,GBPINR10MAY24C104.25,GBPINR 10th MAY 104.25 CE,2024-05-10,1,0.0025
CDS,cde_fo,GBPINR,11456,OPTCUR,PE,102.5,GBPINR,GBPINR26APR24P102.5,GBPINR 26th APR 102.5 PE,2024-04-26,1,0.0025
CDS,cde_fo,GBPINR,11457,OPTCUR,CE,102.75,GBPINR,GBPINR26APR24C102.75,GBPINR 26th APR 102.75 CE,2024-04-26,1,0.0025
CDS,cde_fo,GBPINR,11458,OPTCUR,PE,102.75,GBPINR,GBPINR26APR24P102.75,GBPINR 26th APR 102.75 PE,2024-04-26,1,0.0025
CDS,cde_fo,GBPINR,11459,OPTCUR,CE,103,GBPINR,GBPINR26APR24C103,GBPINR 26th APR 103 CE,2024-04-26,1,0.0025
CDS,cde_fo,GBPINR,11460,OPTCUR,PE,103,GBPINR,GBPINR26APR24P103,GBPINR 26th APR 103 PE,2024-04-26,1,0.0025
CDS,cde_fo,GBPINR,11461,OPTCUR,CE,103.25,GBPINR,GBPINR26APR24C103.25,GBPINR 26th APR 103.25 CE,2024-04-26,1,0.0025
CDS,cde_fo,GBPINR,11462,OPTCUR,PE,103.25,GBPINR,GBPINR26APR24P103.25,GBPINR 26th APR 103.25 PE,2024-04-26,1,0.0025
CDS,cde_fo,GBPINR,11463,OPTCUR,CE,103.5,GBPINR,GBPINR26APR24C103.5,GBPINR 26th APR 103.5 CE,2024-04-26,1,0.0025
CDS,cde_fo,GBPINR,11464,OPTCUR,PE,103.5,GBPINR,GBPINR26APR24P103.5,GBPINR 26th APR 103.5 PE,2024-04-26,1,0.0025
CDS,cde_fo,GBPINR,11465,OPTCUR,PE,104.25,GBPINR,GBPINR10MAY24P104.25,GBPINR 10th MAY 104.25 PE,2024-05-10,1,0.0025
CDS,cde_fo,GBPINR,11466,OPTCUR,CE,104.5,GBPINR,GBPINR10MAY24C104.5,GBPINR 10th MAY 104.5 CE,2024-05-10,1,0.0025
CDS,cde_fo,GBPINR,11467,OPTCUR,PE,104.5,GBPINR,GBPINR10MAY24P104.5,GBPINR 10th MAY 104.5 PE,2024-05-10,1,0.0025
CDS,cde_fo,GBPINR,11468,OPTCUR,CE,104.75,GBPINR,GBPINR10MAY24C104.75,GBPINR 10th MAY 104.75 CE,2024-05-10,1,0.0025
CDS,cde_fo,GBPINR,11469,OPTCUR,PE,104.75,GBPINR,GBPINR10MAY24P104.75,GBPINR 10th MAY 104.75 PE,2024-05-10,1,0.0025
CDS,cde_fo,GBPINR,11470,OPTCUR,CE,105,GBPINR,GBPINR10MAY24C105,GBPINR 10th MAY 105 CE,2024-05-10,1,0.0025
CDS,cde_fo,GBPINR,11471,OPTCUR,PE,105,GBPINR,GBPINR10MAY24P105,GBPINR 10th MAY 105 PE,2024-05-10,1,0.0025
CDS,cde_fo,GBPINR,11472,OPTCUR,CE,105.25,GBPINR,GBPINR10MAY24C105.25,GBPINR 10th MAY 105.25 CE,2024-05-10,1,0.0025
CDS,cde_fo,USDINR,11473,OPTCUR,PE,77.25,USDINR,USDINR29MAY24P77.25,USDINR MAY 77.25 PE,2024-05-29,1,0.0025
CDS,cde_fo,USDINR,11474,OPTCUR,CE,77.5,USDINR,USDINR29MAY24C77.5,USDINR MAY 77.5 CE,2024-05-29,1,0.0025
CDS,cde_fo,USDINR,11475,OPTCUR,PE,77.5,USDINR,USDINR29MAY24P77.5,USDINR MAY 77.5 PE,2024-05-29,1,0.0025
CDS,cde_fo,USDINR,11476,OPTCUR,CE,77.75,USDINR,USDINR29MAY24C77.75,USDINR MAY 77.75 CE,2024-05-29,1,0.0025
CDS,cde_fo,USDINR,11477,OPTCUR,PE,77.75,USDINR,USDINR29MAY24P77.75,USDINR MAY 77.75 PE,2024-05-29,1,0.0025
CDS,cde_fo,USDINR,11478,OPTCUR,CE,78,USDINR,USDINR29MAY24C78,USDINR MAY 78 CE,2024-05-29,1,0.0025
CDS,cde_fo,GBPINR,11479,OPTCUR,PE,102.75,GBPINR,GBPINR24MAY24P102.75,GBPINR 24th MAY 102.75 PE,2024-05-24,1,0.0025
CDS,cde_fo,GBPINR,11480,OPTCUR,CE,103,GBPINR,GBPINR24MAY24C103,GBPINR 24th MAY 103 CE,2024-05-24,1,0.0025
CDS,cde_fo,GBPINR,11485,OPTCUR,CE,112,GBPINR,GBPINR26SEP24C112,GBPINR 26th SEP 112 CE,2024-09-26,1,0.0025
CDS,cde_fo,GBPINR,11486,OPTCUR,PE,112,GBPINR,GBPINR26SEP24P112,GBPINR 26th SEP 112 PE,2024-09-26,1,0.0025
